StudentID,FullName,Team,IsSelectedOfficialTeam
S12345,Emma Thompson,Badminton,Yes
S12346,James Wilson,Badminton,Yes
S12347,Olivia Davis,Badminton,No
S12348,William Brown,Badminton,Yes
S12349,Sophia Miller,Football,Yes
S12350,Benjamin Taylor,Football,Yes
S12351,Isabella Anderson,Football,No
S12352,Lucas Thomas,Football,Yes
S12353,Mia Martin,Football,Yes
S12354,Ethan White,Basketball,Yes
S12355,Charlotte Garcia,Basketball,Yes
S12356,Michael Rodriguez,Basketball,No
S12357,Amelia Martinez,Basketball,Yes
S12358,Alexander Lee,Basketball,Yes
S12359,Harper Young,Badminton,No
S12360,Daniel Hernandez,Badminton,Yes
S12361,Abigail King,Badminton,Yes
S12362,Matthew Scott,Badminton,No
S12363,Emily Green,Badminton,Yes
S12364,David Adams,Football,Yes
S12365,Elizabeth Hall,Football,No
S12366,Joseph Baker,Football,Yes
S12367,Sofia Nelson,Football,Yes
S12368,Samuel Carter,Football,No
S12369,Victoria Perez,Basketball,Yes
S12370,Andrew Roberts,Basketball,Yes
S12371,Grace Turner,Basketball,No
S12372,Christopher Phillips,Basketball,Yes
S12373,Ava Campbell,Basketball,Yes
S12374,Joshua Parker,Badminton,No
S12375,Chloe Evans,Badminton,Yes
S12376,Ryan Edwards,Badminton,Yes
S12377,Madison Stewart,Badminton,No
S12378,David Collins,Football,Yes
S12379,Scarlett Sanchez,Football,Yes
S12380,John Cook,Football,No
S12381,Lily Morris,Football,Yes
S12382,Andrew Rogers,Basketball,Yes
S12383,Zoe Reed,Basketball,No
S12384,Nathan Bailey,Basketball,Yes
S12385,Hannah Bell,Basketball,Yes
S12386,Jonathan Cox,Badminton,No
S12387,Lauren Richardson,Badminton,Yes
S12388,Isaac Howard,Badminton,Yes
S12389,Evelyn Ward,Badminton,No
S12390,Luke Torres,Football,Yes
S12391,Addison Peterson,Football,Yes
S12392,Dylan Gray,Football,No
S12393,Natalie James,Football,Yes
S12394,Caleb Flores,Basketball,Yes
S12395,Aubrey Murphy,Basketball,No
S12396,Julian Rivera,Basketball,Yes
S12397,Lillian Cooper,Basketball,Yes
